source,target
1830637067,2070566713
3965382846,2070566713
2693995105,2070566713
3069648553,2070566713
2070566713,2070566713
6299245851,6029739475
6029458102,6029739475
6027100607,6029739475
6025970492,6029739475
6034655710,6029739475
6026929132,6029739475
6034406344,6029739475
6357371268,6029739475
6023840886,6029739475
6015686375,6029739475
2884377617,6029739475
6023422576,6029739475
6035167977,6029739475
6026985622,6029739475
5969864765,6029739475
5722369426,6029739475
6027524209,6029739475
5992994744,6029739475
6005828101,6029739475
5943802914,6029739475
6029739475,6029739475
5991188079,6101764818
5203737687,5991188079
6301803189,6303224425
6301770502,6303224425
6301344074,6303224425
6199322923,6303224425
6297161441,6303224425
6304088168,6303224425
6298081233,6303224425
2778679394,6303224425
6204091406,6303224425
6339118213,6303224425
6298287963,6303224425
6361393734,6303224425
6322900184,6303224425
6199051333,6303224425
6298093106,6303224425
6304720418,6303224425
6298080951,6303224425
6349827794,6303224425
5767994941,6303224425
6349309444,6303224425
6303224425,6303224425
6359805252,6301787458
6342109674,6301787458
6221175126,6301787458
6361643671,6301787458
6298134195,6301787458
6304825302,6301787458
6339182025,6301787458
6205756010,6301787458
6301360095,6301787458
6379531133,6301787458
6296975828,6301787458
6297061132,6301787458
6295327365,6301787458
5756339525,6301787458
6298043634,6301787458
6346139670,6301787458
6602404844,6301787458
6301780624,6301787458
6364773687,6301787458
2163607997,6301787458
6299107317,6295114592
6321294003,6295114592
6381595203,6295114592
5743332009,6295114592
6205316463,6295114592
6353266153,6295114592
6202983110,6295114592
6301795838,6295114592
6329995174,6295114592
6331787480,6295114592
6353296233,6295114592
6204300258,6295114592
6300994590,6295114592
6301180472,6295114592
6330325061,6295114592
6212723032,6295114592
6297055406,6295114592
6300434252,6295114592
6194264675,6295114592
5748678916,6295114592
5994785936,5995633732
3555583017,5995633732
6300312474,5995633732
6302096599,5995633732
2898275853,5995633732
5782211292,5995633732
6299068094,5995633732
6359533657,5995633732
2918553091,5995633732
6203231095,5995633732
5688979677,5995633732
6304773891,5995633732
3211072272,5995633732
6028536676,5995633732
6027139534,5995633732
5599807748,5995633732
7256991626,5995633732
1736598221,5995633732
5975272636,5995633732
6633298507,6006434917
6712331091,6006434917
6704208521,6006434917
6827618781,6006434917
6562396344,6006434917
1420702335,6006434917
6805319598,6006434917
6795349524,6006434917
6802599853,6006434917
6767477550,6006434917
6762591142,6006434917
6005802509,6006434917
1864485027,6006434917
1964358613,6006434917
3190980951,6006434917
3174469361,6006434917
2811968231,6006434917
2887217671,6006434917
3626065814,6006434917
6560224317,6065135486
2715224453,6065135486
7408185981,6065135486
3067437442,6065135486
5979076285,6065135486
1510173262,6065135486
6970295323,6065135486
6207545805,6065135486
7350144110,6065135486
1117267244,6065135486
6356501955,6065135486
6436921422,6065135486
6806389689,6065135486
6923190109,6065135486
2455866947,6065135486
7076311114,6065135486
6298633998,6065135486
5219879231,6065135486
5803407702,6065135486
6456314443,6065135486
6368652286,6202703407
6301169053,6202703407
6304258588,6202703407
6301793220,6202703407
6029468486,6202703407
1452727202,6202703407
6607047163,6202703407
6300841140,6202703407
6359713526,6202703407
